Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38,Probability_39,Probability_40,Probability_41,Probability_42,Probability_43,Probability_44,Probability_45,Probability_46,Probability_47,Probability_48,Probability_49,Probability_50,Probability_51,Probability_52,Probability_53,Probability_54,Probability_55,Probability_56,Probability_57,Probability_58,Probability_59,Probability_60,Probability_61,Probability_62,Probability_63,Probability_64,Probability_65,Probability_66,Probability_67,Probability_68,Probability_69,Probability_70,Probability_71,Probability_72,Probability_73,Probability_74,Probability_75,Probability_76,Probability_77,Probability_78,Probability_79,Probability_80,Probability_81,Probability_82,Probability_83,Probability_84,Probability_85,Probability_86,Probability_87,Probability_88,Probability_89,Probability_90,Probability_91,Probability_92,Probability_93,Probability_94,Probability_95,Probability_96,Probability_97,Probability_98,Probability_99,Probability_100,Probability_101,Probability_102,Probability_103,Probability_104,Probability_105,Probability_106,Probability_107,Probability_108,Probability_109,Probability_110,Probability_111,Probability_112,Probability_113,Probability_114,Probability_115,Probability_116,Probability_117,Probability_118,Probability_119,Probability_120,Probability_121,Probability_122,Probability_123,Probability_124,Probability_125,Probability_126,Probability_127,Probability_128,Probability_129,Probability_130,Probability_131,Probability_132,Probability_133,Probability_134,Probability_135,Probability_136,Probability_137,Probability_138,Probability_139,Probability_140,Probability_141,Probability_142,Probability_143,Probability_144,Probability_145,Probability_146,Probability_147,Probability_148,Probability_149,Probability_150,Probability_151,Probability_152,Probability_153,Probability_154,Probability_155,Probability_156,Probability_157,Probability_158,Probability_159,Probability_160,Probability_161,Probability_162,Probability_163,Probability_164,Probability_165,Probability_166,Probability_167,Probability_168,Probability_169,Probability_170,Probability_171,Probability_172,Probability_173,Probability_174,Probability_175,Probability_176
11,0.207688633277477,0.851048746388297,0.122763006626745,0.522825947138342,0.134980723768424,0.119142113003845,0.209137106505228,0.165301517332011,0.158520681613671,0.115165452177253,0.13275872384097,0.143599547573399,0.138901856547686,0.130842358101645,0.191173235983512,0.151842483051775,0.813938170415101,0.171095342856824,0.207020755980175,0.137502475915598,0.118866794798733,0.862162701403833,0.170519596526403,0.16631827265637,0.219580519110903,0.132077722277478,0.179584990114601,0.216286193515747,0.194864701880162,0.139016992384429,0.119880085096132,0.165040743710512,0.141433120298194,0.14253439355798,0.191167389972182,0.12930103392754,0.16108795360804,0.182346354353143,0.107983093377827,0.231598690621581,0.130899404591964,0.613334153025308,0.132958905845609,0.203584634069883,0.119359380418985,0.78582652283164,0.147774517445751,0.65315750721285,0.354649519055729,0.130706025949159,0.217803562997613,0.137686425267559,0.829566645619852,0.815428589334117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.273995961189414,0.345645789661519,0.0985508744457416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.222723597457855,0.347286613667711,0.576328257916774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.204601012581768,0.181060247449985,0.161264618436134,0.194746236981616,0.162051115926715,0.200706869336333,0.157886798647904,0.300896815439102,0.145945856237786,0.128022745839422,0.245613326661483,0.219486941354976,0.157511212126999,0.229193540236658,0.174119163538194,0.256844433140619,0.19037942905238,0.364810719111217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.184867802504385,0.280569401668381,0.259983875436817,0.258724397448784,0.226267183051744,0.263290091388877,0.219464766997166,0.213669367162796,0.206194675676472,0.26481660070707,0.148034261430991,0.324019093872543,0.275253466706756,0.263951335714077,0.13352695937404,0.136368760638429,0.16881162102404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.187378934012574,0.473990059564482,0.134481434678957,0.275347290722512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.112868027482699,0.183836727316609,0.194086356485825,0.202656836289837,0.120907580512509,0.146890938489834,0.183268884938541,0.204773290336463,0.160156914451124,0.197981211753825,0.135658564082309,0.125768096961148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.361966791975291,0.204286936456147,0.261972271512253,0.189839918371721,0.281433048423165,0.232826518818116,0.210840079752332,0.389462561949951,0.167679358385774,0.17565954552013,0.148168854150898,0.360799914501651,0.223480969483772,0.20644332692953,0.29911765134748,0.310494599165817,0.215325667919706,0.196030249784187,0.307271697907219,0.200983991508175,0.322750270633823,0.22924783121885,0.332575441495844,0.289402665729957,0.204106047590785,0.337567252786845,0.364262596376569,0.317392145252853,0.440114051483783,0.330081994195369,0.372382483911708,0.189838340486707,0.226832562682141,0.223884274545772,0.426449754597664,0.318737087221742,0.354391183145441,0.162053382000007,0.168819596082683,0.151959181548372,0.161618036352379,0.296711724333941,0.256348230094862,0.352520292506819,0.393539391762584,0.257869297833642,0.382408279872092,0.212271321420473,0.342437979454415,0.143592349730287,0.344345234894818,0.238520264012105,0.422876796223138,0.256177712828814,0.2983289314542,0.284975119925732,0.220997445951737,0.292332014769903,0.435789154348758,0.299275415809786,0.296911382852965,0.418501359245494,0.174737106229407,0.202245207301523,0.499690518195448,0.234999599948054,0.496741333700825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.219042885918991,0.187302464109206,0.13800044357709,0.221693612765345,0.217293319493592,0.145100281256149,0.171841551706816,0.163649077144983,0.197509013824121,0.226105990553908,0.114767310289756,0.193339434662796,0.17166893355864,0.214221551053131,0.168703666774313,0.20836756231355,0.194036316256607,0.182522942169695,0.232616744444707,0.182655833644352,0.148891298509342,0.136338609341546,0.147941951882045,0.145016112432594,0.185469854876081,0.192703235469955,0.19260531727209,0.190286927258369,0.167644149694358,0.189046930469196,0.167547386844489,0.136481278847705,0.126298891768708,0.14683445874263,0.166921765806837,0.130725275744549,0.147128810205385,0.237015634766145,0.174456846086513,0.131482505863717,0.170556929350474,0.162823683874085,0.144003707184828,0.26491164707996,0.259719135693548,0.141598361664279,0.157031755982445,0.260063356180039,0.126581819928664,0.222289728330605,0.251491952885455,0.164436345502795,0.194880082650591,0.120091630606494,0.149109467884134,0.160693469806792,0.166202612654441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.262671428756168,0.261775348018649,0.358282462396426,0.224558087799803,0.436954070920034,0.383539601792938,0.337765375426008,0.17171253421231,0.3570379603191,0.233827431400054,0.19883660621507,0.222309905836341,0.171030912101907,0.157354719843256,0.314855971307188,0.198010727562284,0.092068994604071,0.308779341517849,0.179967138076913,0.22000653298594,0.214775964580412,0.164804521697389,0.173976613703686,0.400366744796048,0.208444399112251,0.169616359025202,0.240163978849536,0.156524705276572,0.238593679000162,0.215114750633503,0.317029352212924,0.249418231470136,0.367657348637621,0.42013504612772,0.216309587501284,0.184037532150197,0.210465861175653,0.162339884479449,0.158942768584687,0.189188735287628,0.274729511568013,0.33272536867483,0.343048189681507,0.241431609016233,0.381913270959824,0.278838205524554,0.231151848758601,0.138621939007892,0.27846675638422,0.210588100298784,0.192099174591191,0.25241852923934,0.361984390047198,0.142628675395899,0.284316296817243,0.19329505944604,0.241786476860826,0.22145819763845,0.206999720766383,0.258711307664827,0.266119184132833,0.327500633142985,0.233216792977592,0.166715139886108,0.202299396801807,0.266530316745187,0.24276039211536,0.229879439781813,0.18710773705364,0.30116929557331,0.246356653629421,0.243607747490657,0.276452534712779,0.245847397553523,0.201123557929137,0.249687683645746,0.253856536524716,0.143091343142446,0.248427686455409,0.249947296872813,0.231707307915427,0.200192323335116,0.277625115078368,0.271718392812955,0.18565286554649,0.260428360133347,0.161668838108235,0.213199126491093,0.262766700919217,0.303049481146281,0.411823348518152,0.156952022745029,0.161753154673857,0.296620382724824,0.206588984238402,0.124908997539882,0.143138181482662,0.0905095699739219,0.261606609148099,0.135148206827352,0.374333252168406,0.221311406624511,0.232187142571615,0.176554801173335,0.257978996030786,0.181188793880307,0.225972546361691,0.228973994234406,0.2791150788979,0.189418930601102,0.26635019436521,0.197263058351452,0.294974692190549,0.268297577520931,0.236208834736133,0.132671152301323,0.207895430727953,0.179612504059109,0.171355631029792,0.275894360179234,0.167447384036427,0.134360794856217,0.117673704766853,0.170517524325779,0.150474418547883,0.266928724304247,0.205573143551685,0.161472711063203,0.280799979191023,0.332517658384624,0.307351441343317,0.141212406221016,0.26144073910155,0.300066470352255,0.289593070513593,0.186806176356347,0.16244092397687,0.270816884090512,0.27437867234166,0.243760287104783,0.197458483181254,0.210534554367114,0.141091260741479,0.332563194554839,0.159878634509034,0.190598479766848,0.108775380931926,0.24997856187293,0.165816810121632,0.1565675947039,0.175170809607713,0.25627194610537,0.204622115709144,0.308625226940559,0.184515017414698,0.4273282384468,0.188361008968505,0.217883686235095,0.213222100117284,0.168692565339563,0.154277661192692,0.30972522425237,0.224764998444444,0.302115178619087,0.16324674933515,0.110944725691686,0.144994112060367,0.170172885358002,0.236659252396068,0.300211189247759,0.265984338591976,0.230134843082135,0.229416323635829,0.106155085873401,0.17073731431103,0.121389035563868
21,0.141191189900965,0.210439057447175,0.194611259461449,0.142438285183596,0.14793991381311,0.224636263512265,0.157004389098927,0.137353179553313,0.302212686892758,0.128859413185092,0.217538290108404,0.202446304809354,0.105666117101708,0.153036659781067,0.119751326520452,0.135096725160128,0.147690413100646,0.245004784527706,0.152249632944756,0.164619459189133,0.223407486799622,0.121177191743151,0.145121434431742,0.159429018912338,0.192380158286492,0.175767698966081,0.175879383820112,0.159909227992525,0.118605477656879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.141220128239622,0.118224358792643,0.164922118957059,0.182510193572519,0.201639118331539,0.215013577958505,0.155304282719652,0.102118867821083,0.148860847410276,0.156721162065251,0.16962661411163,0.119665698862583,0.189504554377843,0.13625266501935,0.12309947595922,0.171970104284632,0.145204398597661,0.145536139034124,0.204163356713604,0.240454351198861,0.150965422281125,0.18800864733692,0.132056354296288,0.124974664152043,0.121314659229962,0.239547202945795,0.154759401226426,0.156293999885506,0.151245217617199,0.200151594082315,0.22063030314741,0.151316474926412,0.13108993181951,0.110620418147171,0.13222565276932,0.146200737607694,0.183187086498349,0.136265455280098,0.224205339075586,0.176266311218376,0.144269608679358,0.248527369910049,0.157048806104899,0.152551487780569,0.137145351632978,0.149042323269099,0.231030442651938,0.176921166626242,0.121481939925063,0.16868433037862,0.144634965993077,0.137142271077847,0.248128497132357,0.220509418709024,0.157836846128526,0.254167905149529,0.163925046660199,0.0991607797836659,0.17427446350163,0.268135232447939,0.15311666702515,0.185920452317905,0.149964057597293,0.176226693349653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.139690875906566,0.159950669548375,0.167732726666641,0.18025836820297,0.245243381800729,0.12852220344201,0.160215567147477,0.252031600232208,0.184142176692842,0.236106215073199,0.205305346570318,0.163805318271776,0.235758602754384,0.22268099866573,0.330653308156724,0.295950307633461,0.273242340965652,0.447509878680813,0.21108265896059,0.320152331594743,0.239940179199081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.21143131743534,0.164969249556891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
